            opportunity_id            |                    agency_name                     |   category    | opportunity_status |                                                                                                                 opportunity_title                                                                                                                 |                   agency_email_address                    |                                                                                                                                                                                                                                                                                      applicant_types                                                                                                                                                                                                                                                                                      | archive_date | award_ceiling | award_floor | close_date |        created_at         | estimated_total_program_funding | expected_number_of_awards | forecasted_award_date | forecasted_close_date | forecasted_post_date | forecasted_project_start_date |                                                                                                             funding_categories                                                                                                             |                         funding_instruments                         | is_cost_sharing | post_date  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            summary_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
--------------------------------------+----------------------------------------------------+---------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+---------------+-------------+------------+---------------------------+---------------------------------+---------------------------+-----------------------+-----------------------+----------------------+-------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------+-----------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 27f78383-af27-4294-8b40-589b0e3f0153 | National Institutes of Health                      | discretionary | forecasted         | Rigor and Reproducibility for Biomarkers in Type 1 Diabetes Clinical Research                                                                                                                                                                     | NIDDK_DEM@nih.gov                                         | ["for_profit_organizations_other_than_small_businesses", "public_and_state_institutions_of_higher_education", "small_businesses", "state_governments", "other_native_american_tribal_organizations", "special_district_governments", "public_and_indian_housing_authorities", "nonprofits_non_higher_education_with_501c3", "private_institutions_of_higher_education", "independent_school_districts", "nonprofits_non_higher_education_without_501c3", "other", "federally_recognized_native_american_tribal_governments", "county_governments"]                                        |              |               |             |            | 2026-02-04T14:45:49+00:00 |                         5200000 |                         8 | 2027-04-01            | 2026-06-25            | 2026-04-01           | 2027-05-01                    | ["health"]                                                                                                                                                                                                                                 | ["grant"]                                                           | f               | 2026-02-04 | The main goal of this initiative is to establish a consortium with the overarching goal to advance the systematic identification, rigorous evaluation, validation, and assays harmonization of biomarkers that are critical to the prevention, diagnosis, and clinical management of Type 1 Diabetes (T1D). Despite significant advances in T1D research, there remains an urgent need for reliable and reproducible biomarkers that can capture the complexity of autoimmune processes, metabolic dysregulation, and individual patient variability. This initiative will leverage state-of-the-art methodologies in clinical chemistry, genomics, proteomics, metabolomics, immunophenotyping, and imaging, coupled with longitudinal patient cohorts and mining of Electronic Health Records (EHR). Within this consortium major efforts will be devoted to: 1) Harmonize established assays for biomarkers such as HbA1c and c-peptide, making sure that these assays are performed in a rigorous and reproducible manner in the clinical research community and in clinical practice. For this purpose, reference methods and materials will use a metrology approach and will be made available to the community; 2) Identify and validate other biomarkers that can be used for the prevention, diagnosis, and clinical management of T1D. It has been reported that the assays for several biomarkers routinely used in clinical research such as glucagon, amylin, chromogranin, insulin, pro-insulin and other pro-hormones are not reproducible across platforms or laboratories. For this purpose, this consortium will ensure that all assays for biomarkers routinely used in clinical research and for newly identified biomarkers are rigorously validated and assessed for reproducibility across several laboratories following a metrology approach.
 a3fe5760-281e-4303-aac7-08dcea8327c2 | National Institutes of Health                      | discretionary | posted             | The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed)                                                                                                                                               | NCIMetNet@mail.nih.gov                                    | ["other", "state_governments", "independent_school_districts", "federally_recognized_native_american_tribal_governments", "city_or_township_governments", "private_institutions_of_higher_education", "county_governments", "special_district_governments", "public_and_state_institutions_of_higher_education", "nonprofits_non_higher_education_without_501c3", "small_businesses", "other_native_american_tribal_organizations", "nonprofits_non_higher_education_with_501c3", "public_and_indian_housing_authorities", "for_profit_organizations_other_than_small_businesses"]        | 2029-01-22   |        500000 |             | 2028-11-22 | 2026-02-04T20:32:31+00:00 |                                 |                           |                       |                       |                      |                               | ["health"]                                                                                                                                                                                                                                 | ["cooperative_agreement"]                                           | f               | 2026-02-04 | The National Cancer Institute's (NCI) Metastasis Research Network (MetNet) is a collection of U54 Research Centers that support using systems-level approaches to understand pressing questions in metastasis. The overall goal of the MetNet is to advance our understanding of metastasis as a whole body, systems-level problem to develop a comprehensive and cohesive picture of the processes involved. Through this Notice of Funding Opportunity (NOFO), the NCI invites applications for MetNet Research Projects. These Research Projects should be defined as discrete entities that use systems-level approaches to address gaps and opportunities in metastasis research to integrate into the MetNet and complement ongoing research across the Network.
 4c7d870d-04a6-4636-a613-edd1a6dececa | NASA Headquarters                                  | discretionary | posted             | ROSES25: B.2 Heliophysics Foundational Research                                                                                                                                                                                                   | hq-hpd-hfr@mail.nasa.gov                                  | ["other"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2026-09-30   |               |             | 2026-08-31 | 2026-02-03T13:45:23+00:00 |                                 |                           |                       |                       |                      |                               | ["science_technology_and_other_research_and_development"]                                                                                                                                                                                  | ["cooperative_agreement", "grant"]                                  | f               | 2026-02-03 | The close date above is the date ROSES25 closes. The Step-2 due date will be announced at least 60 days before the Step-2 proposal due date. The Step-1 proposal due date is May 1, 2026. Step-2 proposals cannot be submitted if a Step-1 proposal was not submitted. NOTICE: Amended February 3, 2026. This amendment releases the final text for this program element, which was previously TBD. Step-1 proposals are due May 1, 2026. The Step-2 due date will be announced at least 60 days before the Step-2 proposal due date, see Section 3.1. An individual may be Principal Investigator (PI) of one and only one proposal to this program element. There is an exception for multiple submissions per PI only when institutions require oversight for efforts that involve Science PIs. The rules regarding interagency awards described in Section 1.1.1 of B.1 Heliophysics Research Program Overview and Section 7 apply to this program element. Proposals submitted to this program will be evaluated using a dual-anonymous review process. Proposals must be prepared according to the guidelines in Section 2.4.2 and in the associated "Guidelines for Proposers to ROSES DAPR Programs" document under "Other Documents" on the NSPIRES page for this program element. All proposers are strongly encouraged to use the standard SMD template for the Open Science Data Management Plan see https://science.nasa.gov/researchers/sara/faqs/OSDMP This synopsis is a generic summary that is posted for each of the many individual "program elements" in NASA’s Research Opportunities in Space and Earth Sciences (ROSES) – 2025 solicitation. For specific information on this particular program element download and read the PDF of the text of this program element by going to Tables 2 or 3 of ROSES at https://solicitation.nasaprs.com/ROSES2025table2 and https://solicitation.nasaprs.com/ROSES2025table3, respectively, click the title of the program element of interest, a hypertext link will take you to a page for that particular program element. On that page, on the right side under "Announcement Documents" the link on the bottom will be to the PDF of the text of the call for proposals. For example, if one were interested in the Solar System Science program (NNH25ZDA001N-SCUBED) one would follow the link to the NSPIRES page for that program element and then to read the text of the call one would click on “C.2 Solar System Science (.pdf)” to download the text of the call. If one wanted to set it into the context of the goals, objectives and know the default rules for all elements within Appendix C, the planetary science division, one might download and read “C.1 Planetary Science Research Program Overview (.pdf)” from that same page. While the letters and numbers are different for each element within ROSES (A.10, B.3, etc.) the basic configuration is always the same, e.g., the letter indicates the Science Division (A is Earth Science, B is Heliophysics etc.) and whatever the letter, #1 is always the division overview. In 2025, most program elements will be set up for application via Grants.gov only if requested at least 30 days in advance of the due date. For more on Grants.gov submissions see Section IV(b)v of the ROSES Summary of Solicitation, that may be found at https://solicitation.nasaprs.com/ROSES2025. The National Aeronautics and Space Administration (NASA) Science Mission Directorate (SMD) released its annual omnibus Research Announcement (NRA), Research Opportunities in Space and Earth Sciences (ROSES) – 2025 (OMB Approval Number 2700-0092, CFDA Number 43.001) on February 21, 2025. In this case "omnibus" means that this NRA has many individual program elements, each with its own due dates and topics. All together these cover the wide range of basic and applied supporting research and technology supported by SMD. Awards will be made as grants, cooperative agreements, or contracts depending on the nature of the work proposed. However, most extramural research awards deriving from ROSES will be grants, and many program elements of ROSES specifically exclude contracts, because contracts would not be appropriate for the nature of the work solicited. Funded Co-Is at government labs will receive inter- or intra-agency transfers. The typical period of performance for an award is three years, but some programs may allow up to five years and others specify shorter periods. In most cases, organizations of every type, Government and private, for profit and not-for-profit, domestic and foreign (with some caveats), may submit proposals without restriction on teaming arrangements. Tables listing the program elements and due dates (Tables 2 and 3), a table that provides a very top level summary of proposal contents (Table 1), and the full text of the ROSES-2025 "Summary of Solicitation", may all be found NSPIRES at https://solicitation.nasaprs.com/ROSES2025. Frequently asked questions for ROSES are posted at http://science.nasa.gov/researchers/sara/faqs. Questions concerning specific program elements should be directed to the point(s) of contact for that particular element, who may be found either at the end of the individual program element in the summary table of key information or on the web list of topics and points of contact at: http://science.nasa.gov/researchers/sara/program-officers-list. General questions concerning ROSES-2025 may be directed to the office of the SMD Deputy Associate Administrator for Research at sara@nasa.gov. Not all program elements are known at the time of the release of ROSES. To be informed of new program elements or amendments to this NRA, proposers may subscribe to: (1) The SMD mailing lists (by logging in at http://nspires.nasaprs.com and checking the appropriate boxes under "Account Management" and "Email Subscriptions"), (2) The ROSES-2025 blog feed for amendments, clarifications, and corrections to at https://science.nasa.gov/researchers/solicitations/roses-2025/, and (3) The ROSES-2025 due date Google calendars (one for each science division). Instructions are at https://science.nasa.gov/researchers/sara/library-and-useful-links (link from the words due date calendar).
 72c1fdd4-ad19-4ead-9b99-f92256c0ff19 | Health Resources and Services Administration       | discretionary | forecasted         | Ryan White HIV/AIDS Program Part C Capacity Development Program                                                                                                                                                                                   | AskPartCCapacity@hrsa.gov                                 | ["city_or_township_governments", "county_governments", "other_native_american_tribal_organizations", "nonprofits_non_higher_education_with_501c3", "public_and_state_institutions_of_higher_education", "private_institutions_of_higher_education", "federally_recognized_native_american_tribal_governments", "state_governments", "other", "special_district_governments", "nonprofits_non_higher_education_without_501c3"]                                                                                                                                                             | 2026-04-22   |        150000 |           0 |            | 2026-01-30T20:13:21+00:00 |                         9000000 |                        60 | 2026-09-01            | 2026-05-01            | 2026-03-02           | 2026-09-01                    | ["health"]                                                                                                                                                                                                                                 | ["grant"]                                                           | f               | 2026-01-30 | The purpose of the Ryan White HIV/AIDS Program (RWHAP) Part C Capacity Development program is to strengthen organizational capacity to increase capacity to develop, enhance, or expand access to high quality HIV primary health care services for low-income people with HIV. The proposed activity should be of a short-term nature and should be completed by the end of the one-year funding opportunity period of performance. Activities fall under two categories: HIV Care Innovation and Infrastructure Development.
 c1d89214-0c56-4030-9166-31c9bd209052 | National Institutes of Health                      | discretionary | posted             | Pilot Projects Enhancing Utility and Usage of Common Fund Data Sets (R03 Clinical Trial Not Allowed)                                                                                                                                              | CFDE@od.nih.gov                                           | ["other_native_american_tribal_organizations", "independent_school_districts", "federally_recognized_native_american_tribal_governments", "for_profit_organizations_other_than_small_businesses", "public_and_state_institutions_of_higher_education", "private_institutions_of_higher_education", "nonprofits_non_higher_education_without_501c3", "city_or_township_governments", "nonprofits_non_higher_education_with_501c3", "county_governments", "public_and_indian_housing_authorities", "state_governments", "special_district_governments", "other", "small_businesses"]        | 2026-08-24   |        200000 |             | 2026-06-23 | 2026-01-30T18:11:37+00:00 |                         4000000 |                        13 |                       |                       |                      |                               | ["health"]                                                                                                                                                                                                                                 | ["grant"]                                                           | f               | 2026-01-30 | Many valuable and widely available data sets have been generated by multiple Common Fund programs. The purpose of this NOFO is to announce the availability of funding to demonstrate and enhance the utility of selected Common Fund (https://commonfund.nih.gov/) data sets, including generating hypotheses and catalyzing discoveries. Award recipients are asked to provide feedback on the utility of the Common Fund data resources.
 c026db8a-157d-42de-bac7-4baf5602cd0a | National Institute of Food and Agriculture         | discretionary | posted             | Agriculture and Food Research Initiative  Strengthening Agricultural Systems                                                                                                                                                                      | grantapplicationquestions@usda.gov                        | ["other"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2026-04-25   |      10000000 |     1000000 | 2026-03-26 | 2026-01-29T15:31:44+00:00 |                       140000000 |                        18 |                       |                       |                      |                               | ["agriculture"]                                                                                                                                                                                                                            | ["grant"]                                                           | t               | 2026-01-29 | The long-term goal of the Agriculture and Food Research Initiative - Strengthening Agricultural Systems (SAS) Notice of Funding Opportunity (NOFO) is to help transform the U.S. food and agricultural system to increase agricultural production while enhancing farmer prosperity. Achieving this goal will require transdisciplinary approaches to address current and future food and agricultural challenges within the context of the economic viability of farm operations, quality of life for farmers and society as a whole, and the most efficient use of resources. NIFA is soliciting applications to support:1. At least one of the following Strengthening Agricultural Systems sub-priorities:a. New Uses and Expanding Markets for Agriculture and Forestry Productsb. Solutions to Pests and Diseases of Plants or Animalsc. Combating Food and Diet-Related Chronic Diseases2. Artificial Intelligence for K-12 Food and Agricultural SciencesSee AFRI SAS NOFO for details.
 ca2f980d-ecba-45f8-ae68-2c49eda57b92 | AmeriCorps                                         | discretionary | posted             | Fiscal Year (FY) 2026 AmeriCorps Seniors RSVP Competition                                                                                                                                                                                         | RSVPCompetition@americorps.gov                            | ["nonprofits_non_higher_education_without_501c3", "private_institutions_of_higher_education", "county_governments", "other_native_american_tribal_organizations", "other", "special_district_governments", "state_governments", "city_or_township_governments", "nonprofits_non_higher_education_with_501c3", "federally_recognized_native_american_tribal_governments"]                                                                                                                                                                                                                  | 2026-04-25   |               |             | 2026-03-26 | 2026-01-30T22:12:38+00:00 |                                 |                           |                       |                       |                      |                               | ["community_development", "consumer_protection", "disaster_prevention_and_relief", "education", "employment_labor_and_training", "environment", "food_and_nutrition", "health", "housing", "income_security_and_social_services", "other"] | ["grant"]                                                           | t               | 2026-01-30 | AmeriCorps improves lives, strengthens communities, and fosters civic engagement through service and volunteering. AmeriCorps brings people together to tackle some of the country’s most pressing challenges through national service and volunteerism. AmeriCorps members and AmeriCorps Seniors volunteers serve with organizations dedicated to the improvement of communities and those serving. AmeriCorps helps make service a cornerstone of our national culture. This funding announcement is an opportunity for communities to apply for funding to engage adults ages 55 and older in tackling the community’s most pressing needs through the AmeriCorps Seniors RSVP program. This is an open competition across all states and territories.
 de341cf8-64e0-4984-ab1c-bbc7f68a9057 | National Institutes of Health                      | discretionary | forecasted         | Specialized Alcohol Research Centers (P50 Clinical trial Optional)                                                                                                                                                                                | NIAAAOEA@mail.nih.gov                                     | ["federally_recognized_native_american_tribal_governments", "independent_school_districts", "special_district_governments", "state_governments", "public_and_indian_housing_authorities", "other_native_american_tribal_organizations", "nonprofits_non_higher_education_with_501c3", "small_businesses", "city_or_township_governments", "nonprofits_non_higher_education_without_501c3", "other", "private_institutions_of_higher_education", "county_governments", "for_profit_organizations_other_than_small_businesses", "public_and_state_institutions_of_higher_education"]        |              |               |             |            | 2026-01-30T15:33:02+00:00 |                                 |                           | 2027-06-01            | 2026-09-15            | 2026-05-15           | 2027-07-01                    | ["health"]                                                                                                                                                                                                                                 | ["grant"]                                                           | f               | 2026-01-30 | The National Institute on Alcohol Abuse and Alcoholism (NIAAA) supports a broad-based Alcohol Research Centers program to foster and conduct interdisciplinary, collaborative research on alcohol misuse, Alcohol Use Disorder (AUD), and alcohol-related problems, and other health-related consequences across the lifespan. The NIAAA Centers Program provides leadership in research, and research methodology development on a wide variety of topics relevant to the Institute’s mission. The focus of the NIAAA Centers program should be on generating a critical mass of researchers in a given understudied and/or innovative topic area relevant to the NIAAA mission with an emphasis on interdisciplinary coordination and cooperation among independent researchers and development and mentorship of young investigators. A center must contribute more to the alcohol field than the sum of its parts. Topics include but are not limited to, the nature, etiology, genetics, diagnosis, treatment, and prevention of alcohol misuse, AUD, alcohol-related end-organ diseases, and their biomedical, psychosocial, and economic consequences across the lifespan. Centers are also major contributors to the development of research methods, technologies, and approaches that sustain innovative goal-directed research on understanding the chronic disorder of alcohol misuse that is such a personal, social and medical burden to US society.
