grant_id,title,team_size,objective,selected_faculty,covered_keywords
ca108e77-69f6-4d3a-9723-a1353076a4ad,"Advancing Bioinformatics, Translational Bioinformatics and Computational Biology Research (R01 Clinical Trial Optional)",3,2.5,13:Tim Alcon | 28:Meghna Babbar-Sebens | 37:John Barber,bioinformatics | computational biology | machine learning | healthcare | public health
60b8b017-30ec-4f31-a160-f00b7ee384e7,Carderock BAA,3,1.5,5:Julie A. Adams | 8:Pavan Akula | 12:Lance Albertson,materials science | artificial intelligence | manufacturing
25d22ed0-f1fe-4c46-a5b6-0ab60a464f00,Collaboratory to Advance Mathematics Education and Learning (CAMEL) for K-12,3,1.5,11:Muge Albayrak | 24:Tracy Arras | 30:Mike Bailey,education | machine learning | stem
2e37b591-e1cc-4d6a-a223-ff0c0962f74a,Illuminating AD/ADRD Genome to Enable Precision Genomic Medicine,3,2.0,13:Tim Alcon | 34:Ravi Balasubramanian | 37:John Barber,neuroscience | bioinformatics | healthcare | pharmaceuticals
54f77fd7-7117-4d57-b433-20c3fd323434,Interdisciplinary Research to Understand the Complex Biology of Resilience to Alzheimer’s and Related Dementias Disease Risk,3,2.0,2:Bahman Abbasi | 34:Ravi Balasubramanian | 37:John Barber,neuroscience | machine learning | healthcare | aging
b39b2236-74f2-466c-875e-8a226a78968c,"Mind, Machine and Motor Nexus",3,2.5,16:Janet Amador | 33:Yong Bakos | 34:Ravi Balasubramanian,robotics | human-computer interaction | artificial intelligence | healthcare | workplace
ae75aa4f-e367-4730-8524-b54dd8e38b66,New Generation of Glucose Control Technologies Incorporating AI/ML Tools/Strategies,3,1.5,26:Nick AuYeung | 27:Mohammad Azizian | 34:Ravi Balasubramanian,biomedical engineering | machine learning | healthcare
b19c89bb-baf4-4121-a24f-28891f9b1111,Novel Approaches to Advance Precision Aging and Cognitive Health,3,2.0,12:Lance Albertson | 16:Janet Amador | 17:Tejasvi Anand,machine learning | healthcare | public health | aging
c08bbf7a-563b-4af4-a79b-b1cb7bdd71ad,Rehabilitation Engineering Research Centers (RERC) Program: RERC on AI-Driven Assistive and Rehabilitation Technologies,3,1.5,24:Tracy Arras | 25:Scott Ashford | 34:Ravi Balasubramanian,artificial intelligence | biomedical engineering | healthcare
131fabad-5506-431b-b87a-e564f1d8dcc4,Research Grants in Clinical Informatics (R01 Clinical Trial Optional),3,2.0,6:(missing name) | 12:Lance Albertson | 16:Janet Amador,machine learning | data science | healthcare | public health
